date,dow,setup,side,lots,entry,stop,target,exit,pnl,net,exit_why,fill_hm,exit_hm
2025-12-05,4,T1-Z1,1,2,26862.9375,26800.7625,26914.75,26800.7625,-248.6999999999971,-252.17999999999708,stop,1040,1055
2025-12-08,0,T1-Z1,-1,2,26747.25,26795.55,26703.75,26703.75,174.0,171.52,target,1030,1055
2025-12-09,1,T1-Z1,1,4,26689.5,26656.5,26717.0,26717.0,220.0,215.04,target,1030,1040
2025-12-10,2,T2R,1,14,26592.8,26582.2,26640.5,26582.2,-296.79999999995925,-321.15999999995927,stop,1100,1100
2025-12-10,2,T2X,-1,14,26672.0,26677.6,26587.5,26592.8,2217.6000000000204,2200.2400000000202,reversed,1050,1100
2025-12-12,4,T1-Z1,-1,1,26423.1,26499.475,26362.0,26362.0,122.19999999999709,120.9599999999971,target,1035,1055
2025-12-15,0,T1-Z1,-1,1,26156.6,26250.475,26081.5,26250.475,-187.75,-189.49,stop,1030,1115
2025-12-18,3,T2R,-1,4,26192.425,26227.875,26050.625,26050.625,1134.3999999999942,1129.4399999999941,target,1035,1210
2025-12-22,0,T1-Z1,-1,4,26497.05,26528.05,26472.25,26472.25,198.39999999999418,193.43999999999417,target,1030,1035
2025-12-29,0,T1-Z3a,1,3,26546.25,26502.0625,26620.0,26502.0625,-265.125,-271.845,stop,1025,1050
2025-12-30,1,T2X,1,3,26555.75,26515.25,26616.5,26515.25,-243.0,-248.22,stop,1135,1200
2025-12-31,2,T2R,1,12,26344.7,26332.3,26400.5,26400.5,1339.1999999999825,1324.3199999999824,target,1055,1155
2026-01-02,4,T1-Z1,-1,1,26327.75,26414.3125,26258.5,26258.5,138.5,137.26,target,1030,1050
2026-01-05,0,T1-Z1,1,3,26448.875,26405.225,26485.25,26485.25,218.25,214.53,target,1040,1105
2026-01-05,0,T2X,1,5,26456.25,26441.6,26514.35,26441.6,-146.50000000001455,-155.20000000001454,stop,1040,1040
2026-01-06,1,T1-Z1,1,2,26537.5,26486.5,26580.0,26486.5,-204.0,-207.48,stop,1035,1055
2026-01-07,2,T1-Z1,1,4,26653.9375,26621.1625,26681.25,26703.1,393.29999999998836,388.3399999999884,reversed,1035,1035
2026-01-07,2,T2R,-1,13,26703.1,26714.025,26653.9375,26652.5,1315.5999999999622,1299.4799999999623,reversed,1035,1040
2026-01-07,2,T2X,1,3,26652.5,26615.7,26714.025,26714.025,369.15000000000873,365.4300000000087,target,1040,1100
2026-01-08,3,T1-Z3a,1,2,26498.25,26429.0625,26604.0,26429.0625,-276.75,-281.23,stop,1025,1035
2026-01-09,4,T1-Z1,1,2,26600.75,26527.25,26662.0,26662.0,245.0,242.52,target,1040,1105
2026-01-12,0,T1-Z1,1,2,26687.125,26630.275,26734.5,26734.5,189.5,187.02,target,1030,1110
2026-01-13,1,T1-Z1,-1,2,26659.25,26717.0625,26613.0,26613.0,185.0,182.52,target,1030,1045
2026-01-13,1,T2X,-1,2,26688.25,26751.75,26555.1875,26751.75,-254.0,-257.48,stop,1055,1135
2026-01-15,3,T2R,1,12,26615.1,26603.4,26667.75,26667.75,1263.600000000035,1248.7200000000348,target,1050,1055
2026-01-16,4,T1-Z1,-1,2,26509.7,26566.825,26464.0,26464.0,182.8000000000029,180.32000000000292,target,1120,1255
2026-01-16,4,T2R,1,6,26418.3,26395.45,26521.125,26395.45,-274.19999999998254,-284.63999999998254,stop,1040,1040
2026-01-20,1,T2R,-1,5,26211.2,26238.5,26136.125,26142.95,682.5,676.3,reversed,1040,1050
2026-01-20,1,T2X,1,2,26142.95,26088.35,26224.85,26224.85,327.59999999999127,325.11999999999125,target,1050,1110
2026-01-23,4,T2R,-1,7,26606.45,26626.675,26515.4375,26626.675,-283.1499999999796,-295.32999999997963,stop,1045,1055
2026-01-26,0,T1-Z1,1,2,26642.375,26587.625,26688.0,26688.0,182.5,180.02,target,1030,1050
2026-01-26,0,T2X,1,4,26669.75,26633.25,26724.5,26724.5,438.0,433.04,target,1100,1130
2026-01-28,2,T1-Z1,-1,6,27028.1,27052.6,27008.5,27008.5,235.19999999998254,227.75999999998254,target,1030,1035
